file,height,width,merge_eps_px,corners_raw,corners_merged
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c25.png,31,19,2,20,19
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c250.png,44,32,2,55,45
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c251.png,49,44,2,84,58
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c252.png,41,37,2,47,38
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c253.png,45,48,2,74,52
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c254.png,41,29,2,34,31
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c255.png,43,32,2,29,23
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c256.png,41,32,2,37,27
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c257.png,37,37,2,38,32
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c258.png,57,51,2,103,71
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c26.png,27,27,2,20,16
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c260.png,44,43,2,51,43
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c261.png,36,44,2,34,30
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c262.png,36,45,2,60,46
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c263.png,42,29,2,34,29
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c264.png,42,32,2,47,37
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c265.png,55,48,2,75,61
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c266.png,42,40,2,42,40
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c267.png,33,27,2,32,24
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c268.png,40,26,2,37,31
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c269.png,37,27,2,34,27
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c27.png,33,26,2,31,26
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c270.png,36,42,2,30,26
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c271.png,24,25,2,21,15
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c272.png,24,21,2,13,13
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c273.png,20,19,2,10,10
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c274.png,30,28,2,27,15
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c275.png,53,49,2,85,70
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c276.png,57,36,2,61,49
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c277.png,51,41,2,69,54
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c278.png,38,40,2,51,43
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c279.png,42,48,2,61,50
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c28.png,29,37,2,32,26
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c280.png,37,24,2,26,20
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c282.png,54,31,2,62,49
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c283.png,50,30,2,49,38
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c284.png,36,24,2,28,27
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c285.png,32,27,2,25,20
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c286.png,36,20,2,26,20
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c287.png,25,39,2,25,20
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c288.png,55,41,2,74,53
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c289.png,60,33,2,70,53
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c29.png,55,52,2,107,81
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c290.png,51,38,2,79,63
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c291.png,51,51,2,90,71
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c293.png,54,42,2,83,64
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c294.png,50,41,2,63,47
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c295.png,55,36,2,76,60
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c297.png,50,52,2,88,70
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c298.png,38,25,2,32,29
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c3.png,57,62,2,104,79
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c30.png,52,39,2,61,48
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c300.png,28,26,2,22,15
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c301.png,37,26,2,32,25
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c303.png,24,31,2,34,26
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c304.png,29,44,2,28,25
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c305.png,25,26,2,15,9
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c306.png,54,51,2,92,69
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c307.png,43,53,2,87,65
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c308.png,48,38,2,49,39
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c309.png,49,53,2,75,56
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c31.png,51,41,2,78,59
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c310.png,44,54,2,34,29
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c311.png,40,41,2,46,33
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c312.png,38,42,2,49,40
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c313.png,39,29,2,39,28
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c314.png,40,36,2,44,36
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c315.png,31,33,2,38,31
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c316.png,36,51,2,67,54
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c317.png,36,32,2,38,31
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c318.png,20,21,2,8,7
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c319.png,32,27,2,28,23
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c32.png,54,41,2,57,53
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c320.png,21,33,2,24,18
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c321.png,65,64,2,121,91
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c322.png,63,57,2,107,86
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c323.png,55,45,2,72,59
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c324.png,56,32,2,82,64
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c325.png,55,29,2,55,42
/content/drive/MyDrive/samples_segmented_chars/p1_upload_skeletonized/RC04844/page_1/c326.png,26,42,2,33,25
