image,corner_count
RC04847/page_2/c67.png,17
RC04847/page_2/c9.png,15
RC04847/page_2/c15.png,13
RC04847/page_2/c62.png,7
RC04847/page_2/c55.png,20
RC04847/page_2/c83.png,28
RC04847/page_2/c21.png,17
RC04847/page_2/c76.png,7
RC04847/page_2/c45.png,5
RC04847/page_2/c6.png,15
RC04847/page_2/c88.png,7
RC04847/page_2/c41.png,16
RC04847/page_2/c56.png,6
RC04847/page_2/c65.png,27
RC04847/page_2/c81.png,50
RC04847/page_2/c30.png,5
RC04847/page_2/c64.png,31
RC04847/page_2/c37.png,26
RC04847/page_2/c87.png,1
RC04847/page_2/c73.png,7
RC04847/page_2/c25.png,13
RC04847/page_2/c66.png,31
RC04847/page_2/c92.png,13
RC04847/page_2/c197.png,31
RC04847/page_2/c204.png,7
RC04847/page_2/c206.png,8
RC04847/page_2/c114.png,28
RC04847/page_2/c144.png,2
RC04847/page_2/c191.png,3
RC04847/page_2/c246.png,3
RC04847/page_2/c143.png,6
RC04847/page_2/c116.png,20
RC04847/page_2/c223.png,36
RC04847/page_2/c101.png,8
RC04847/page_2/c141.png,14
RC04847/page_2/c216.png,8
RC04847/page_2/c219.png,3
RC04847/page_2/c237.png,6
RC04847/page_2/c153.png,14
RC04847/page_2/c248.png,6
RC04847/page_2/c177.png,27
RC04847/page_2/c174.png,7
RC04847/page_2/c238.png,5
RC04847/page_2/c126.png,8
RC04847/page_2/c229.png,5
RC04847/page_2/c132.png,34
RC04847/page_2/c139.png,24
RC04847/page_2/c140.png,9
RC04847/page_2/c213.png,16
RC04847/page_2/c109.png,12
RC04847/page_2/c220.png,11
RC04847/page_2/c157.png,9
RC04847/page_2/c212.png,9
RC04847/page_2/c210.png,32
RC04847/page_2/c244.png,8
RC04847/page_2/c147.png,20
RC04847/page_2/c112.png,8
RC04847/page_2/c133.png,19
RC04847/page_2/c105.png,12
RC04847/page_2/c192.png,31
RC04847/page_2/c200.png,11
RC04847/page_2/c113.png,12
RC04847/page_2/c194.png,29
RC04847/page_2/c128.png,4
RC04847/page_2/c107.png,10
RC04847/page_2/c179.png,29
RC04847/page_2/c127.png,8
RC04847/page_2/c176.png,4
RC04847/page_2/c122.png,6
RC04847/page_2/c119.png,19
RC04847/page_2/c167.png,17
RC04847/page_2/c202.png,4
RC04847/page_2/c134.png,32
RC04847/page_2/c251.png,10
RC04847/page_2/c185.png,29
RC04847/page_2/c123.png,5
RC04847/page_2/c209.png,44
RC04847/page_2/c188.png,20
RC04847/page_2/c186.png,42
RC04847/page_2/c110.png,9
RC04847/page_2/c195.png,25
RC04847/page_2/c227.png,12
RC04847/page_2/c228.png,41
